Date,TCWRS,ETI-5,eti_available_count,eti_raw_score,eti_capped_score,eti_cap_reason,Tail Risk,BCD,CP,bear_trend_score,bear_trend_floor_signal,red_confirmed_by,signal_before_stability_rule,signal_after_stability_rule,red_lock_active,Signal,Close,forward_5d_max_drawdown,forward_10d_max_drawdown,forward_20d_max_drawdown,forward_40d_max_drawdown,forward_60d_max_drawdown,Forward 20D Max Drawdown %,false_positive_20d,false_positive_40d,false_positive_60d,delayed_valid_signal,False Positive,Drawdown Avoided %
2022-05-03,27,1,1,1,1,available components <= 2; capped at 2,27.36,21.89,24.46,4,Orange,,Orange,Orange,False,Orange,16498.9,-2.73,-5.35,-5.35,-8.02,-15.45,-5.35,False,False,False,False,False,15.45
2022-05-04,23,1,1,1,1,available components <= 2; capped at 2,26.46,21.16,22.61,4,Orange,,Orange,Orange,False,Orange,16565.83,-3.38,-5.73,-5.73,-10.5,-15.79,-5.73,False,False,False,False,False,15.79
2022-05-05,23,1,1,1,1,available components <= 2; capped at 2,24.7,19.76,22.12,4,Orange,,Orange,Orange,False,Orange,16696.12,-6.47,-6.47,-6.47,-14.09,-16.44,-6.47,False,False,False,False,False,16.44
2022-05-06,31,1,1,1,1,available components <= 2; capped at 2,28.58,22.87,26.4,4,Orange,,Orange,Orange,False,Orange,16408.2,-4.82,-4.82,-4.82,-13.35,-14.98,-4.82,True,False,False,True,False,14.98
2022-05-09,35,1,1,1,1,available components <= 2; capped at 2,34.89,26.74,29.65,4,Orange,,Orange,Orange,False,Orange,16048.92,-2.69,-2.69,-2.69,-11.41,-13.07,-2.69,True,False,False,True,False,13.07
2022-05-10,23,1,1,1,1,available components <= 2; capped at 2,33.26,26.61,24.51,4,Orange,,Orange,Orange,False,Orange,16061.7,-2.77,-2.77,-2.77,-12.93,-13.14,-2.77,True,False,False,True,False,13.14
2022-05-11,27,1,1,1,1,available components <= 2; capped at 2,34.01,27.21,26.32,4,Orange,,Orange,Orange,False,Orange,16006.25,-2.43,-2.43,-2.43,-12.62,-12.84,-2.43,True,False,False,True,False,12.84
2022-05-12,35,1,1,1,1,available components <= 2; capped at 2,39.26,31.41,30.99,4,Orange,,Orange,Orange,False,Orange,15616.68,1.38,1.38,1.38,-10.45,-10.67,1.38,True,False,False,True,False,10.67
2022-05-13,23,1,1,1,1,available components <= 2; capped at 2,36.35,29.08,25.38,4,Orange,,Orange,Orange,False,Orange,15832.54,0.43,0.43,0.43,-11.67,-11.89,0.43,True,False,False,True,False,11.89
2022-05-16,23,1,1,1,1,available components <= 2; capped at 2,35.43,28.34,25.12,4,Orange,,Orange,Orange,False,Orange,15901.04,0.75,0.39,0.39,-12.27,-12.27,0.39,True,False,False,True,False,12.27
2022-05-17,23,1,1,1,1,available components <= 2; capped at 2,33.33,26.67,24.53,4,Orange,,Orange,Orange,False,Orange,16056.09,-0.58,-0.58,-0.58,-13.11,-13.11,-0.58,True,False,False,True,False,13.11
2022-05-18,23,1,1,1,1,available components <= 2; capped at 2,30.09,24.07,23.62,4,Orange,,Orange,Orange,False,Orange,16296.86,-2.04,-2.04,-2.81,-14.4,-14.4,-2.81,True,False,False,True,False,14.4
2022-05-19,31,1,1,1,1,available components <= 2; capped at 2,33.82,27.05,27.87,4,Orange,,Orange,Orange,False,Orange,16020.32,-0.35,-0.35,-2.37,-12.92,-12.92,-2.37,True,False,False,True,False,12.92
2022-05-20,23,1,1,1,1,available components <= 2; capped at 2,32.14,25.71,24.2,4,Orange,,Orange,Orange,False,Orange,16144.85,-1.12,-1.12,-4.81,-13.59,-13.59,-4.81,True,False,False,True,False,13.59
2022-05-23,23,1,1,1,1,available components <= 2; capped at 2,31.98,25.58,24.15,4,Orange,,Orange,Orange,False,Orange,16156.41,-1.19,-1.19,-4.88,-13.65,-13.65,-4.88,True,False,False,True,False,13.65
2022-05-24,31,1,1,1,1,available components <= 2; capped at 2,34.58,27.67,28.08,4,Orange,,Orange,Orange,False,Orange,15963.63,0.03,0.03,-3.86,-12.61,-12.61,-3.86,True,False,False,True,False,12.61
2022-05-25,23,1,1,1,1,available components <= 2; capped at 2,32.69,26.15,24.35,4,Orange,,Orange,Orange,False,Orange,16104.03,-0.84,-0.84,-5.76,-13.37,-13.37,-5.76,False,False,False,False,False,13.37
2022-05-26,31,1,1,1,1,available components <= 2; capped at 2,34.51,27.61,28.06,4,Orange,,Orange,Orange,False,Orange,15968.83,1.86,1.86,-4.96,-12.64,-12.64,-4.96,True,False,False,True,False,12.64
2022-05-27,15,0,1,0,0,available components <= 2; capped at 2,30.5,24.4,14.54,4,Orange,,Orange,Orange,False,Orange,16266.22,1.76,-1.2,-6.7,-14.24,-14.24,-6.7,False,False,False,False,False,14.24
2022-05-30,15,0,1,0,0,available components <= 2; capped at 2,25.85,20.68,13.24,4,Orange,,Orange,Orange,False,Orange,16610.62,-0.59,-3.39,-8.63,-16.01,-16.01,-8.63,False,False,False,False,False,16.01
2022-05-31,15,0,1,0,0,available components <= 2; capped at 2,24.55,18.55,12.77,4,Orange,,Orange,Orange,False,Orange,16807.77,-1.75,-4.81,-9.71,-17.0,-17.0,-9.71,False,False,False,False,False,17.0
2022-06-01,23,0,1,0,0,available components <= 2; capped at 2,24.98,19.99,16.19,4,Orange,,Orange,Orange,False,Orange,16675.09,-0.97,-5.02,-11.09,-16.34,-16.34,-11.09,False,False,False,False,False,16.34
2022-06-02,19,0,1,0,0,available components <= 2; capped at 2,26.63,24.0,15.33,4,Orange,,Orange,Orange,False,Orange,16552.57,-0.56,-5.51,-13.35,-15.72,-15.72,-13.35,False,False,False,False,False,15.72
2022-06-06,15,0,1,0,0,available components <= 2; capped at 2,25.91,20.73,13.26,4,Orange,,Orange,Orange,False,Orange,16605.96,-3.22,-7.46,-14.39,-15.99,-15.99,-14.39,False,False,False,False,False,15.99
2022-06-07,19,0,1,0,0,available components <= 2; capped at 2,27.17,21.74,15.21,4,Orange,,Orange,Orange,False,Orange,16512.88,-2.82,-6.94,-13.9,-15.52,-15.52,-13.9,False,False,False,False,False,15.52
2022-06-08,15,0,1,0,0,available components <= 2; capped at 2,25.04,20.03,13.01,4,Orange,,Orange,Orange,False,Orange,16670.51,-4.03,-7.93,-16.11,-16.32,-16.32,-16.11,False,False,False,False,False,16.32
2022-06-09,19,0,1,0,0,available components <= 2; capped at 2,25.71,20.57,14.8,4,Orange,,Orange,Orange,False,Orange,16621.34,-4.71,-8.69,-15.86,-16.07,-16.07,-15.86,False,False,False,False,False,16.07
2022-06-10,23,0,1,0,0,available components <= 2; capped at 2,27.88,24.0,17.18,4,Orange,,Orange,Orange,False,Orange,16460.12,-4.97,-7.8,-15.03,-15.25,-15.25,-15.03,False,False,False,False,False,15.25
2022-06-13,35,1,1,1,1,available components <= 2; capped at 2,33.13,36.0,30.23,4,Orange,,Orange,Orange,False,Orange,16070.98,-4.38,-5.57,-12.98,-13.19,-13.19,-12.98,False,False,False,False,False,13.19
2022-06-14,35,1,1,1,1,available components <= 2; capped at 2,33.45,48.0,31.49,4,Orange,,Orange,Orange,False,Orange,16047.37,-4.24,-5.43,-13.07,-13.07,-13.07,-13.07,False,False,False,False,False,13.07
2022-06-15,35,1,1,1,1,available components <= 2; capped at 2,34.1,60.0,32.82,4,Orange,,Orange,Orange,False,Orange,15999.25,-4.07,-5.14,-12.8,-12.8,-12.8,-12.8,False,False,False,False,False,12.8
2022-06-16,35,1,1,1,1,available components <= 2; capped at 2,36.27,72.0,34.45,4,Orange,,Orange,Orange,False,Orange,15838.61,-4.18,-6.4,-11.92,-11.92,-11.92,-11.92,False,False,False,False,False,11.92
2022-06-17,35,1,1,1,1,available components <= 2; capped at 2,38.93,84.0,36.19,4,Orange,,Orange,Orange,False,Orange,15641.26,-2.97,-8.3,-10.81,-10.81,-10.81,-10.81,False,False,False,False,False,10.81
2022-06-20,35,1,1,1,1,available components <= 2; capped at 2,42.63,96.0,38.13,4,Orange,,Orange,Orange,False,Orange,15367.58,-1.24,-7.49,-9.22,-9.22,-9.22,-9.22,False,False,True,False,False,9.22
2022-06-21,23,1,1,1,1,available components <= 2; capped at 2,37.75,30.2,25.77,4,Orange,,Orange,Orange,False,Orange,15728.64,-3.51,-9.61,-11.3,-11.3,-11.3,-11.3,False,False,False,False,False,11.3
2022-06-22,31,1,1,1,1,available components <= 2; capped at 2,42.89,34.31,30.41,4,Orange,,Orange,Orange,False,Orange,15347.75,-1.12,-8.88,-9.1,-9.1,-9.1,-9.1,False,False,True,False,False,9.1
2022-06-23,35,1,1,1,1,available components <= 2; capped at 2,45.2,36.16,32.66,4,Orange,,Orange,Orange,False,Orange,15176.44,-2.31,-7.85,-8.08,-8.08,-8.08,-8.08,False,False,True,False,False,8.08
2022-06-24,23,1,1,1,1,available components <= 2; capped at 2,43.49,34.79,27.38,4,Orange,,Orange,Orange,False,Orange,15303.32,-6.27,-8.61,-8.84,-8.84,-8.84,-8.84,False,False,True,False,False,8.84
2022-06-27,23,1,1,1,1,available components <= 2; capped at 2,40.19,32.15,26.45,4,Orange,,Orange,Orange,False,Orange,15548.01,-8.56,-10.05,-10.27,-10.27,-10.27,-10.27,False,False,False,False,False,10.27
2022-06-28,27,1,1,1,1,available components <= 2; capped at 2,41.65,33.32,28.46,4,Orange,,Orange,Orange,False,Orange,15439.92,-7.92,-9.65,-9.65,-9.65,-9.65,-9.65,False,False,True,False,False,9.65
2022-06-29,35,1,1,1,1,available components <= 2; capped at 2,44.35,35.48,32.42,4,Orange,,Orange,Orange,False,Orange,15240.13,-8.23,-8.46,-8.46,-8.46,-8.46,-8.46,False,False,True,False,False,8.46
2022-06-30,35,1,1,1,1,available components <= 2; capped at 2,49.94,39.95,33.98,4,Orange,,Orange,Orange,False,Orange,14825.73,-5.67,-5.9,-5.9,-5.9,-5.9,-5.9,False,True,True,False,False,5.9
